lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15,date,target_next_price
0.0,0.0,0.0,0.0,0.07590105,0.0,0.0,0.35562217,0.08039631,0.62180406,0.0,0.0,0.0,1.0947046,0.1036584,0.13630348,1996-05,-5.700000000000003
0.0,0.0,0.0,0.0,0.3017591,0.0,0.0,0.44481713,0.077362075,0.5547037,0.0,0.0,0.0,0.9616517,0.028335117,0.0172466,1996-06,-3.3934252386002157
0.0,0.0,0.063654914,0.0,0.95088196,0.0,0.0,0.6756147,0.0,0.34761786,0.0,0.0,0.0,0.6435303,0.0,0.0,1996-07,-5.817782656421512
0.0,0.0,0.72145253,0.0,1.9930443,0.0,0.0,1.0347146,0.0,0.021570802,0.0,0.0,0.0,0.1455139,0.0,0.0,1996-08,-12.237762237762238
0.0,0.0,1.3708452,0.0,3.0111406,0.0,0.0,1.3039147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-09,-5.577689243027892
0.0,0.0,1.5413854,0.0,3.3302221,0.0,0.0,1.373105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-10,-5.203938115330504
0.0,0.0,1.3076972,0.0,3.1807144,0.0,0.0,1.4371238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-11,0.2967359050444935
0.0,0.0,1.0253096,0.0,2.8116388,0.0,0.0,1.3580886,0.0,0.0,0.0,0.0,0.0,0.062346444,0.0,0.0,1996-12,0.7396449704142012
0.0,0.0,0.5863657,0.0,2.0899413,0.0,0.0,1.1061895,0.0,0.05475929,0.0,0.0,0.0,0.44738004,0.0,0.0,1997-01,0.4405286343612501
0.0,0.0,0.22868645,0.0,1.4491738,0.0,0.0,0.8469199,0.0,0.22194791,0.0,0.0,0.0,0.7154745,0.037986636,0.0,1997-02,3.216374269005831
0.0,0.0,0.033053733,0.0,1.0618334,0.0,0.0,0.6845507,0.0,0.30704,0.0,0.0,0.0,0.83302647,0.053856216,0.0,1997-03,0.283286118980174
0.0,0.0,0.0,0.0,0.6849618,0.0,0.0,0.543949,0.0,0.41061243,0.0,0.0,0.0,0.93029475,0.058232896,0.0,1997-04,-2.824858757062147
0.0,0.0,0.0,0.0,0.5155478,0.0,0.0,0.4967043,0.0,0.47365233,0.0,0.0,0.0,0.9530288,0.04348159,0.0,1997-05,-5.232558139534875
0.0,0.0,0.050491035,0.0,0.948201,0.0,0.0,0.6532665,0.0,0.3339744,0.0,0.0,0.0,0.7323037,0.0,0.0,1997-06,-4.294478527607368
0.0,0.0,0.554296,0.0,1.757546,0.0,0.0,0.95068896,0.0,0.08006148,0.0,0.0,0.0,0.3636604,0.0,0.0,1997-07,5.288461538461545
0.0,0.0,0.918141,0.0,2.427138,0.0,0.0,1.215919,0.0,0.0,0.0,0.0,0.0,0.10714957,0.0,0.0,1997-08,-0.913242009132433
0.0,0.0,1.254861,0.0,3.0757468,0.0,0.0,1.4450837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-09,0.7680491551459294
0.0,0.0,1.2517024,0.0,3.1839602,0.0,0.0,1.5122406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-10,-2.134146341463402
0.0,0.0,0.9256357,0.0,2.7308898,0.0,0.0,1.4013009,0.0,0.0,0.0,0.0,0.0,0.21336532,0.0,0.0,1997-11,-1.2461059190031218
0.0,0.0,0.5059169,0.0,2.0452557,0.0,0.0,1.1438987,0.0,0.10773581,0.0,0.0,0.0,0.55926156,0.0,0.0,1997-12,-1.104100946372233
0.0,0.0,0.0,0.0,1.1622769,0.0,0.0,0.7785835,0.0,0.358999,0.0,0.0,0.0,0.92458105,0.06840728,0.0,1998-01,0.0
0.0,0.0,0.0,0.0,0.5336698,0.0,0.0,0.51998764,0.0,0.5179243,0.0,0.0,0.0,1.1221361,0.13272664,0.0,1998-02,0.7974481658692184
0.0,0.0,0.0,0.0,0.21949817,0.0,0.0,0.4055971,0.0,0.6029529,0.0,0.0,0.0,1.1892085,0.15558252,0.114308484,1998-03,-3.797468354430389
0.0,0.0,0.0,0.0,0.054542072,0.0,0.0,0.36092174,0.0120918825,0.6573861,0.0,0.0,0.0,1.2072417,0.15781856,0.1978358,1998-04,-0.9868421052631486
0.0,0.0,0.0,0.0,0.10961649,0.0,0.0,0.39306968,0.03847759,0.64450437,0.0,0.0,0.0,1.1689153,0.13149455,0.17193323,1998-05,-1.9933554817275796
0.0,0.0,0.0,0.0,0.2282305,0.0,0.0,0.45156392,0.043366518,0.6178819,0.0,0.0,0.0,1.1170868,0.09320364,0.12314547,1998-06,-2.5423728813559325
0.0,0.0,0.0,0.0,0.5698286,0.0,0.0,0.59011257,0.0,0.5249625,0.0,0.0,0.0,1.0035067,0.021778401,0.0,1998-07,-5.9130434782608665
0.0,0.0,0.22177392,0.0,1.4618262,0.0,0.0,0.943214,0.0,0.27120236,0.0,0.0,0.0,0.6982252,0.0,0.0,1998-08,-0.3696857670979719
