transformer_feat_0,transformer_feat_1,transformer_feat_2,transformer_feat_3,transformer_feat_4,transformer_feat_5,transformer_feat_6,transformer_feat_7,transformer_feat_8,transformer_feat_9,transformer_feat_10,transformer_feat_11,transformer_feat_12,transformer_feat_13,transformer_feat_14,transformer_feat_15,date,target_pct_change
0.2369147,0.5870552,0.11776468,0.0,0.7705874,0.0,0.72852474,0.0,0.0,0.6078657,0.46313888,0.5458985,0.10018873,0.0,0.0,0.8976136,2008-09,-16.280925778132477
0.24678965,0.6025284,0.11352245,0.0,0.7872728,0.0,0.74447787,0.0,0.0,0.6203804,0.47213218,0.55795246,0.09270465,0.0,0.0,0.917257,2008-10,-8.484270734032416
0.23201261,0.5831423,0.12234341,0.0,0.77083915,0.0,0.727353,0.0,0.0,0.6064446,0.4617478,0.54597145,0.10678105,0.0,0.0,0.8973782,2008-11,-0.937500000000006
0.18465197,0.5411396,0.16382466,0.0,0.7637616,0.0,0.7085135,0.0,0.0,0.5873756,0.44488397,0.53992754,0.16726576,0.0,0.0,0.88450086,2008-12,5.573080967402746
0.1355719,0.50103927,0.20906101,0.0,0.7641896,0.0,0.6951271,0.0,0.0,0.57197225,0.43020317,0.539173,0.23256321,0.0,0.0,0.87981105,2009-01,-3.1872509960159388
0.08339086,0.45585036,0.25547877,0.0,0.7588579,0.0,0.67631996,0.0,0.0,0.55234694,0.412511,0.53426415,0.30003548,0.0,0.0,0.86837286,2009-02,0.0
0.0,0.32644325,0.35717884,0.0,0.70376605,0.0,0.59696674,0.0,0.0,0.4806163,0.35397965,0.49240693,0.4513965,0.0,0.0,0.79346997,2009-03,0.9259259259259172
0.0,0.16187668,0.50475526,0.0,0.65697384,0.0,0.51094985,0.0,0.0,0.39847055,0.28414157,0.45542017,0.6683391,0.0,0.0,0.722842,2009-04,5.300713557594295
0.0,0.0,0.572838,0.0,0.47436547,0.0,0.3297679,0.0,0.06656115,0.25399733,0.1785965,0.32299006,0.7815209,0.0,0.0,0.5053802,2009-05,-0.2904162633107426
0.0,0.0,0.6096626,0.0,0.40862107,0.0,0.26079106,0.0,0.121792495,0.197713,0.13654813,0.27502254,0.8400524,0.0,0.0,0.42567724,2009-06,-8.25242718446602
0.0,0.0,0.63794684,0.0,0.28261152,0.0,0.14145392,0.0,0.2060568,0.104502045,0.06986478,0.18407705,0.89115155,0.0,0.0,0.27775842,2009-07,-2.7513227513227454
0.0,0.0,0.63449043,0.0,0.20881663,0.0,0.07765759,0.0,0.24518263,0.056857675,0.037396476,0.13128665,0.8921624,0.0,0.0,0.19342604,2009-08,-2.2850924918389643
0.0,0.0,0.647525,0.0,0.14080466,0.0,0.0139257945,0.0,0.289524,0.007322103,0.0021387637,0.08225243,0.9165199,0.0,0.0,0.11384431,2009-09,4.4543429844098
0.0,0.0,0.64945173,0.0,0.09882743,0.0,0.0,0.0,0.3137677,0.0,0.0,0.052131988,0.9227169,0.0,0.0,0.065427154,2009-10,4.477611940298511
0.0,0.0,0.6453516,0.0,0.10559256,0.0,0.0,0.0,0.3079257,0.0,0.0,0.05707509,0.91624504,0.0,0.0,0.07366415,2009-11,1.020408163265306
